weight,nregion,modularity
x0000,48,NA-States
x0001,48,NA-States
x0002,48,NA-States
x0003,48,NA-States
x0004,48,NA-States
x0010,54,0.970993542
x0011,36,0.932074603
x0012,37,0.9420941
x0013,37,0.947578885
x0014,37,0.950536763
x0020,54,0.970993542
x0021,35,0.940185917
x0022,36,0.932074603
x0023,36,0.937544502
x0024,37,0.9420941
x0030,54,0.970993542
x0031,39,0.947471287
x0032,34,0.93611968
x0033,36,0.932074603
x0034,36,0.935912637
x0040,54,0.970993542
x0041,43,0.951956848
x0042,35,0.940185917
x0043,33,0.934720591
x0044,36,0.932074603
x0100,44,0.952095364
x0101,33,0.945989995
x0102,35,0.951483605
x0103,36,0.954646817
x0104,38,0.956771159
x0110,32,0.932466678
x0111,33,0.932336059
x0112,33,0.937407559
x0113,36,0.942819991
x0114,36,0.946246465
x0120,34,0.940850794
x0121,35,0.930441361
x0122,32,0.929704537
x0123,34,0.934633343
x0124,36,0.939112604
x0130,38,0.947917692
x0131,34,0.935709827
x0132,34,0.929199928
x0133,32,0.92914622
x0134,34,0.934504714
x0140,42,0.952175105
x0141,34,0.940507653
x0142,34,0.934207367
x0143,34,0.929575613
x0144,32,0.928982397
x0200,44,0.952095364
x0201,29,0.944466285
x0202,33,0.945989995
x0203,34,0.94932269
x0204,35,0.951483605
x0210,30,0.935146069
x0211,30,0.933307972
x0212,30,0.934771477
x0213,32,0.939826316
x0214,33,0.94201742
x0220,32,0.932466678
x0221,32,0.93055479
x0222,33,0.932336059
x0223,34,0.932522919
x0224,33,0.937407559
x0230,35,0.936722919
x0231,34,0.930468143
x0232,30,0.928469405
x0233,32,0.929639993
x0234,31,0.930797274
x0240,34,0.940850794
x0241,33,0.934174816
x0242,35,0.930441361
x0243,32,0.92884969
x0244,32,0.929704537
x0300,44,0.952095364
x0301,29,0.946699679
x0302,31,0.944043377
x0303,33,0.945989995
x0304,34,0.948102928
x0310,30,0.939554829
x0311,29,0.936243563
x0312,30,0.935617325
x0313,30,0.93603528
x0314,31,0.94032835
x0320,31,0.932692222
x0321,31,0.93233688
x0322,32,0.932613303
x0323,31,0.93279389
x0324,32,0.93507951
x0330,32,0.932466678
x0331,32,0.930725118
x0332,31,0.930528609
x0333,33,0.932336059
x0334,33,0.930845059
x0340,33,0.934455999
x0341,34,0.930332589
x0342,31,0.929303194
x0343,30,0.928786678
x0344,32,0.929792127
x0400,44,0.952095364
x0401,29,0.947670526
x0402,29,0.944466285
x0403,31,0.943764876
x0404,33,0.945989995
x0410,30,0.9417067
x0411,29,0.938977603
x0412,30,0.937992417
x0413,31,0.937071291
x0414,31,0.938038925
x0420,30,0.935146069
x0421,30,0.93405277
x0422,30,0.933307972
x0423,30,0.934075848
x0424,30,0.934771477
x0430,31,0.932353055
x0431,32,0.932421641
x0432,31,0.931020549
x0433,32,0.93198416
x0434,33,0.932076475
x0440,32,0.932466678
x0441,32,0.930391194
x0442,32,0.93055479
x0443,30,0.929490344
x0444,33,0.932336059
